Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0603_1608Metric,104.625,-61.75,90.0,top
C2,0.1µF,C_0603_1608Metric,102.75,-61.75,90.0,top
D1,D_45deg,D_0805_2012Metric,91.75,-68.0,180.0,top
D10,D_45deg,D_0805_2012Metric,63.75,-78.25,0.0,top
D11,D_45deg,D_0805_2012Metric,80.75,-78.25,0.0,top
D12,D_45deg,D_0805_2012Metric,97.75,-78.25,0.0,top
D13,D_45deg,D_0805_2012Metric,114.75,-78.25,0.0,top
D14,D_45deg,D_0805_2012Metric,131.75,-78.25,0.0,top
D2,D_45deg,D_0805_2012Metric,91.75,-65.75,180.0,top
D3,D_45deg,D_0805_2012Metric,103.75,-65.75,180.0,top
D4,D_45deg,D_0805_2012Metric,103.75,-68.0,180.0,top
D5,D_45deg,D_0805_2012Metric,63.75,-61.25,0.0,top
D6,D_45deg,D_0805_2012Metric,80.75,-61.25,0.0,top
D7,D_45deg,D_0805_2012Metric,103.75,-70.25,180.0,top
D8,D_45deg,D_0805_2012Metric,114.75,-61.25,0.0,top
D9,D_45deg,D_0805_2012Metric,131.75,-61.25,0.0,top
J1,~,PCBTypeC_14P,98.0,-56.720609,90.0,top
R1,5.1K,C_0603_1608Metric,99.875,-61.625,-90.0,top
R2,5.1K,C_0603_1608Metric,95.625,-61.625,-90.0,top
RST1,RESET,GT-TC024,91.75,-61.5,0.0,top
SW1,~,PG1316S_1U_castellated,63.75,-63.75,0.0,top
SW10,~,PG1316M_0.7U_castellated,63.75,-95.625,0.0,top
SW11,~,PG1316M_0.7U_castellated,80.75,-95.625,0.0,top
SW12,~,PG1316M_0.7U_castellated,97.75,-95.625,0.0,top
SW13,~,PG1316M_0.7U_castellated,114.75,-95.625,0.0,top
SW14,~,PG1316M_0.7U_castellated,131.75,-95.625,0.0,top
SW2,~,PG1316S_1U_castellated,80.75,-63.75,0.0,top
SW3,~,PG1316S_1U_castellated,114.75,-63.75,0.0,top
SW4,~,PG1316S_1U_castellated,131.75,-63.75,0.0,top
SW5,~,PG1316S_1U_castellated,63.75,-80.75,0.0,top
SW6,~,PG1316S_1U_castellated,80.75,-80.75,0.0,top
SW7,~,PG1316S_1U_castellated,97.75,-80.75,0.0,top
SW8,~,PG1316S_1U_castellated,114.75,-80.75,0.0,top
SW9,~,PG1316S_1U_castellated,131.75,-80.75,0.0,top
U1,CH552T,TSSOP-20_4.4x6.5mm_P0.65mm,97.75,-67.0,0.0,top
